Topología de Red;Número de Nodos;Tiempo de Saturación
Lineal;5;4
Lineal;5;4
Lineal;5;12
Lineal;5;13
Lineal;5;10
Lineal;5;7
Lineal;5;26
Lineal;5;10
Lineal;5;9
Lineal;5;8
Lineal;5;3
Lineal;5;11
Lineal;5;17
Lineal;5;3
Lineal;5;71
Lineal;5;367
Lineal;5;6
Lineal;5;3
Lineal;5;3
Lineal;5;6
Lineal;5;5
Lineal;5;4
Lineal;5;5
Lineal;5;9
Lineal;5;6
Lineal;5;8
Lineal;5;5
Lineal;5;5
Lineal;5;13
Lineal;5;14
Lineal;5;14
Lineal;5;6
Lineal;5;5
Lineal;5;9
Lineal;5;6
Lineal;5;61
Lineal;5;4
Lineal;5;48
Lineal;5;11
Lineal;5;3
Lineal;5;17
Lineal;5;7
Lineal;5;56
Lineal;5;7
Lineal;5;33
Lineal;5;5
Lineal;5;42
Lineal;5;51
Lineal;5;206
Lineal;5;1
Lineal;5;98
Lineal;5;2
Lineal;5;6
Lineal;5;24
Lineal;5;22
Lineal;5;9
Lineal;5;2
Lineal;5;12
Lineal;5;27
Lineal;5;3
Lineal;5;5
Lineal;5;6
Lineal;5;6
Lineal;5;26
Lineal;5;6
Lineal;5;10
Lineal;5;3
Lineal;5;41
Lineal;5;4
Lineal;5;3
Lineal;5;4
Lineal;5;2
Lineal;5;2
Lineal;5;78
Lineal;5;12
Lineal;5;3
Lineal;5;8
Lineal;5;1
Lineal;5;6
Lineal;5;16
Lineal;5;7
Lineal;5;3
Lineal;5;4
Lineal;5;38
Lineal;5;3
Lineal;5;5
Lineal;5;5
Lineal;5;8
Lineal;5;109
Lineal;5;4
Lineal;5;4
Lineal;5;6
Lineal;5;3
Lineal;5;55
Lineal;5;8
Lineal;5;12
Lineal;5;5
Lineal;5;3
Lineal;5;12
Lineal;5;9
Lineal;5;6
Lineal;5;4
Lineal;5;3
Lineal;5;24
Lineal;5;8
Lineal;5;6
Lineal;5;4
Lineal;5;15
Lineal;5;83
Lineal;5;6
Lineal;5;3
Lineal;5;9
Lineal;5;8
Lineal;5;4
Lineal;5;7
Lineal;5;4
Lineal;5;12
Lineal;5;3
Lineal;5;2
Lineal;5;3
Lineal;5;13
Lineal;5;16
Lineal;5;4
Lineal;5;2
Lineal;5;12
Lineal;5;27
Lineal;5;8
Lineal;5;4
Lineal;5;15
Lineal;5;2
Lineal;5;2
Lineal;5;7
Lineal;5;3
Lineal;5;2
Lineal;5;8
Lineal;5;7
Lineal;5;5
Lineal;5;16
Lineal;5;5
Lineal;5;27
Lineal;5;3
Lineal;5;2
Lineal;5;11
Lineal;5;5
Lineal;5;29
Lineal;5;7
Lineal;5;3
Lineal;5;6
Lineal;5;3
Lineal;5;2
Lineal;5;12
Lineal;5;1
Lineal;5;8
Lineal;5;5
Lineal;5;37
Lineal;5;21
Lineal;5;3
Lineal;5;8
Lineal;5;14
Lineal;5;14
Lineal;5;7
Lineal;5;14
Lineal;5;20
Lineal;5;13
Lineal;5;4
Lineal;5;8
Lineal;5;12
Lineal;5;28
Lineal;5;20
Lineal;5;7
Lineal;5;2
Lineal;5;13
Lineal;5;4
Lineal;5;6
Lineal;5;6
Lineal;5;9
Lineal;5;3
Lineal;5;31
Lineal;5;6
Lineal;5;8
Lineal;5;6
Lineal;5;7
Lineal;5;4
Lineal;5;3
Lineal;5;6
Lineal;5;8
Lineal;5;3
Lineal;5;14
Lineal;5;1
Lineal;5;6
Lineal;5;12
Lineal;5;15
Lineal;5;7
Lineal;5;5
Lineal;5;2
Lineal;5;1
Lineal;5;4
Lineal;5;4
Lineal;5;8
Lineal;5;2
Lineal;5;2
Lineal;5;8
Lineal;5;18
Lineal;5;19
Lineal;5;7
Lineal;5;3
Lineal;5;2
Lineal;5;7
Lineal;5;16
Lineal;5;9
Lineal;5;13
Lineal;5;41
Lineal;5;6
Lineal;5;7
Lineal;5;6
Lineal;5;3
Lineal;5;22
Lineal;5;10
Lineal;5;8
Lineal;5;3
Lineal;5;31
Lineal;5;46
Lineal;5;3
Lineal;5;3
Lineal;5;6
Lineal;5;5
Lineal;5;10
Lineal;5;20
Lineal;5;15
Lineal;5;3
Lineal;5;24
Lineal;5;4
Lineal;5;7
Lineal;5;10
Lineal;5;10
Lineal;5;13
Lineal;5;4
Lineal;5;7
Lineal;5;3
Lineal;5;11
Lineal;5;16
Lineal;5;38
Lineal;5;5
Lineal;5;4
Lineal;5;14
Lineal;5;8
Lineal;5;1
Lineal;5;2
Lineal;5;2
Lineal;5;4
Lineal;5;8
Lineal;5;7
Lineal;5;5
Lineal;5;224
Lineal;5;2
Lineal;5;2
Lineal;5;329
Lineal;5;9
Lineal;5;3
Lineal;5;10
Lineal;5;2
Lineal;5;105
Lineal;5;5
Lineal;5;6
Lineal;5;3
Lineal;5;21
Lineal;5;7
Lineal;5;11
Lineal;5;23
Lineal;5;4
Lineal;5;3
Lineal;5;2
Lineal;5;1
Lineal;5;17
Lineal;5;13
Lineal;5;7
Lineal;5;7
Lineal;5;6
Lineal;5;7
Lineal;5;123
Lineal;5;8
Lineal;5;5
Lineal;5;2
Lineal;5;6
Lineal;5;44
Lineal;5;10
Lineal;5;8
Lineal;5;2
Lineal;5;8
Lineal;5;5
Lineal;5;7
Lineal;5;3
Lineal;5;6
Lineal;5;13
Lineal;5;81
Lineal;5;3
Lineal;5;25
Lineal;5;5
Lineal;5;52
Lineal;5;7
Lineal;5;8
Lineal;5;14
Lineal;5;6
Lineal;5;7
Lineal;5;4
Lineal;5;4
Lineal;5;10
Lineal;5;4
Lineal;5;12
Lineal;5;3
Lineal;5;15
Lineal;5;21
Lineal;5;3
Lineal;5;6
Lineal;5;5
Lineal;5;1
Lineal;5;7
Lineal;5;5
Lineal;5;24
Lineal;5;4
Lineal;5;2
Lineal;5;4
Lineal;5;4
Lineal;5;12
Lineal;5;12
Lineal;5;24
Lineal;5;3
Lineal;5;19
Lineal;5;15
Lineal;5;13
Lineal;5;7
Lineal;5;3
Lineal;5;4
Lineal;5;6
Lineal;5;7
Lineal;5;5
Lineal;5;6
Lineal;5;23
Lineal;5;4
Lineal;5;18
Lineal;5;6
Lineal;5;7
Lineal;5;10
Lineal;5;6
Lineal;5;10
Lineal;5;6
Lineal;5;3
Lineal;5;5
Lineal;5;1
Lineal;5;2
Lineal;5;3
Lineal;5;8
Lineal;5;5
Lineal;5;3
Lineal;5;5
